inputType;task;size;numberInBlock;duration;durationPerPixel;repeated;aborted;screenChanges;targetOnMainScreen;positionOnScreen;posNumber;XdistancePrevTarget;YdistancePrevTarget;targetWidth;targetHeight;indexOfDifficulty;eyeMouseDistribution;eyeIntervalsDuration;mouseIntervalsDuration;intervalChanges
Ninja;Select;large;0;1686;6.5859375;false;false;424;false;2;2;256;239;120.93750762939453;120.93750762939453;1.640063607016051;12,1674;12;1674;1
Ninja;Select;large;1;1862;1.2209836065573771;false;false;557,927,992;true;2;4;1525;714;120.94136810302734;120.94136810302734;3.766533235596395;21,1841;21;1841;1
Ninja;Select;large;2;1480;0.47043865225683407;false;false;761;false;1;1;3146;714;120.93750762939453;120.93750762939453;4.755605200731036;313,1167;313;1167;1
Ninja;Select;large;3;1840;0.8654750705550329;false;false;745;true;1;3;2126;714;120.94136810302734;120.94136810302734;4.215582769946853;32,1808;32;1808;1
Ninja;Select;large;0;494;0.2323612417685795;false;false;351;false;1;1;2126;714;120.93750762939453;120.93750762939453;4.215626343108886;338,156;338;156;1
Ninja;Select;large;1;1728;0.5492689129052766;false;false;701;true;2;4;3146;714;120.94136810302734;120.94136810302734;4.75556085367256;721,1007;721;1007;1
Ninja;Select;large;2;1000;0.6557377049180327;false;false;605;false;2;2;1525;714;120.93750762939453;120.93750762939453;3.7665759036838153;658,342;658;342;1
Ninja;Select;large;3;2152;4.261386138613862;false;false;314;true;1;3;505;714;120.94136810302734;120.94136810302734;2.787367086968394;185,1967;185;1967;1
Ninja;Select;large;0;1109;1.0872549019607842;false;false;373;true;2;4;1020;0;120.94136810302734;120.94136810302734;3.2378449455552993;26,1083;26;1083;1
Ninja;Select;large;1;936;0.6137704918032787;false;false;674;false;2;2;1525;714;120.93750762939453;120.93750762939453;3.7665759036838153;576,360;576;360;1
Ninja;Select;large;2;1648;1.0166563849475632;false;false;;false;1;1;1621;0;120.93750762939453;120.93750762939453;3.848359210497593;564,1084;564;1084;1
Ninja;Select;large;3;864;0.4063969896519285;false;false;736;true;1;3;2126;714;120.94136810302734;120.94136810302734;4.215582769946853;484,380;484;380;1
Ninja;Select;large;0;167;167;false;false;;true;1;3;1;0;120.94136810302734;120.94136810302734;0.011879833169118087;1,166;1;166;1
Ninja;Select;large;1;1720;3.405940594059406;false;false;112;false;2;2;505;714;120.93750762939453;120.93750762939453;2.787406468302139;288,1432;288;1432;1
Ninja;Select;large;2;985;0.6459016393442623;false;false;503;true;2;4;1525;714;120.94136810302734;120.94136810302734;3.766533235596395;369,616;369;616;1
Ninja;Select;large;3;1639;0.5209790209790209;false;false;781;false;1;1;3146;714;120.93750762939453;120.93750762939453;4.755605200731036;264,1375;264;1375;1
Ninja;Select;large;0;9;9;false;false;;false;1;1;1;0;120.93750762939453;120.93750762939453;0.011880210830862796;9;9;0;0
Ninja;Select;large;1;1728;0.5492689129052766;false;false;745;true;2;4;3146;714;120.94136810302734;120.94136810302734;4.75556085367256;664,1064;664;1064;1
Ninja;Select;large;2;913;0.8950980392156863;false;false;;true;1;3;1020;0;120.94136810302734;120.94136810302734;3.2378449455552993;152,761;152;761;1
Ninja;Select;large;3;2055;4.069306930693069;false;false;564;false;2;2;505;714;120.93750762939453;120.93750762939453;2.787406468302139;23,2032;23;2032;1
Ninja;Select;large;0;41;41;false;false;;false;2;2;1;0;120.93750762939453;120.93750762939453;0.011880210830862796;41;41;0;0
Ninja;Select;large;1;1120;0.6909315237507712;false;false;;false;1;1;1621;0;120.93750762939453;120.93750762939453;3.848359210497593;24,1096;24;1096;1
Ninja;Select;large;2;1232;0.3916083916083916;false;false;746;true;2;4;3146;714;120.94136810302734;120.94136810302734;4.75556085367256;265,967;265;967;1
Ninja;Select;large;3;768;0.7529411764705882;false;false;;true;1;3;1020;0;120.94136810302734;120.94136810302734;3.2378449455552993;112,656;112;656;1
Ninja;Select;large;0;277;277;false;false;;true;1;3;1;0;120.94136810302734;120.94136810302734;0.011879833169118087;9,268;9;268;1
Ninja;Select;large;1;1176;0.5531514581373471;false;false;667;false;1;1;2126;714;120.93750762939453;120.93750762939453;4.215626343108886;336,840;336;840;1
Ninja;Select;large;2;1904;1.1745835903763109;false;false;690,893;false;2;2;1621;0;120.93750762939453;120.93750762939453;3.848359210497593;589,1315;589;1315;1
Ninja;Select;large;3;968;0.6347540983606558;false;false;614;true;2;4;1525;714;120.94136810302734;120.94136810302734;3.766533235596395;345,623;345;623;1
Ninja;Select;large;0;49;49;false;false;;true;2;4;1;0;120.94136810302734;120.94136810302734;0.011879833169118087;49;49;0;0
Ninja;Select;large;1;591;0.38754098360655737;false;false;376;false;2;2;1525;714;120.93750762939453;120.93750762939453;3.7665759036838153;167,424;167;424;1
Ninja;Select;large;2;1224;2.4237623762376237;false;false;302;true;1;3;505;714;120.94136810302734;120.94136810302734;2.787367086968394;265,959;265;959;1
Ninja;Select;large;3;848;0.3988711194731891;false;false;653;false;1;1;2126;714;120.93750762939453;120.93750762939453;4.215626343108886;588,260;588;260;1
Ninja;Select;large;0;700;0.22250476795931343;false;false;;true;2;4;3146;714;120.94136810302734;120.94136810302734;4.75556085367256;3,697;3;697;1
Ninja;Select;large;1;800;0.7843137254901961;false;false;;true;1;3;1020;0;120.94136810302734;120.94136810302734;3.2378449455552993;81,719;81;719;1
Ninja;Select;large;2;1744;3.4534653465346534;false;false;443;false;2;2;505;714;120.93750762939453;120.93750762939453;2.787406468302139;160,1584;160;1584;1
Ninja;Select;large;3;837;0.5163479333744602;false;false;;false;1;1;1621;0;120.93750762939453;120.93750762939453;3.848359210497593;168,669;168;669;1
Ninja;Select;large;0;964;0.3064208518753973;false;false;679;true;2;4;3146;714;120.94136810302734;120.94136810302734;4.75556085367256;9,955;9;955;1
Ninja;Select;large;1;1040;0.3305785123966942;false;false;760;false;1;1;3146;714;120.93750762939453;120.93750762939453;4.755605200731036;216,824;216;824;1
Ninja;Select;large;2;1648;0.7751646284101599;false;false;849,1110,1353;true;1;3;2126;714;120.94136810302734;120.94136810302734;4.215582769946853;280,1368;280;1368;1
Ninja;Select;large;3;1592;3.1524752475247526;false;false;268;false;2;2;505;714;120.93750762939453;120.93750762939453;2.787406468302139;120,1472;120;1472;1
Ninja;Select;large;0;90;90;false;false;;false;2;2;1;0;120.93750762939453;120.93750762939453;0.011880210830862796;90;90;0;0
Ninja;Select;large;1;960;0.5922270203578038;false;false;;false;1;1;1621;0;120.93750762939453;120.93750762939453;3.848359210497593;368,592;368;592;1
Ninja;Select;large;2;1800;0.8466603951081844;false;false;796;true;1;3;2126;714;120.94136810302734;120.94136810302734;4.215582769946853;128,1672;128;1672;1
Ninja;Select;large;3;1272;1.2470588235294118;false;false;;true;2;4;1020;0;120.94136810302734;120.94136810302734;3.2378449455552993;217,1055;217;1055;1
Ninja;Select;large;0;1060;0.336935791481246;false;false;272;false;1;1;3146;714;120.93750762939453;120.93750762939453;4.755605200731036;7,1053;7;1053;1
Ninja;Select;large;1;908;0.4270931326434619;false;false;673;true;1;3;2126;714;120.94136810302734;120.94136810302734;4.215582769946853;164,744;164;744;1
Ninja;Select;large;2;1444;1.415686274509804;false;false;;true;2;4;1020;0;120.94136810302734;120.94136810302734;3.2378449455552993;341,1103;341;1103;1
