inputType;task;size;numberInBlock;duration;durationPerPixel;repeated;aborted;screenChanges;targetOnMainScreen;positionOnScreen;posNumber;XdistancePrevTarget;YdistancePrevTarget;targetWidth;targetHeight;indexOfDifficulty;eyeMouseDistribution;eyeIntervalsDuration;mouseIntervalsDuration;intervalChanges
Mouse;Select;small;0;2043;1.6099290780141844;false;false;;true;2;4;1269;475;45.347225189208984;45.347225189208984;4.857188373497562;8,2035;8;2035;1
Mouse;Select;small;1;3479;1.1058486967577876;false;false;;false;1;1;3146;714;45.347225189208984;45.347225189208984;6.137007500643856;12,1013,136,2318;148;3331;3
Mouse;Select;small;2;4323;2.6668723010487354;false;false;;false;2;2;1621;0;45.347225189208984;45.347225189208984;5.199530968960261;26,2283,2014;2040;2283;2
Mouse;Select;small;3;1357;2.6871287128712873;false;false;;true;1;3;505;714;45.347225189208984;45.347225189208984;4.065673555186729;384,973;384;973;1
Mouse;Select;small;0;1146;2.269306930693069;false;false;;false;2;2;505;714;45.347225189208984;45.347225189208984;4.065673555186729;12,1134;12;1134;1
Mouse;Select;small;1;1201;0.7409006785934609;false;false;;false;1;1;1621;0;45.347225189208984;45.347225189208984;5.199530968960261;12,1189;12;1189;1
Mouse;Select;small;2;3310;1.0521296884933249;false;false;;true;2;4;3146;714;45.347225189208984;45.347225189208984;6.137007500643856;269,3041;269;3041;1
Mouse;Select;small;3;1363;1.3362745098039215;false;false;;true;1;3;1020;0;45.347225189208984;45.347225189208984;4.554165635320141;24,1339;24;1339;1
Mouse;Select;small;0;2142;1.0075258701787395;false;false;;false;1;1;2126;714;45.347225189208984;45.347225189208984;5.581432364401242;59,2083;59;2083;1
Mouse;Select;small;1;1953;0.91862652869238;false;false;;true;1;3;2126;714;45.347225189208984;45.347225189208984;5.581432364401242;28,1925;28;1925;1
Mouse;Select;small;2;1074;2.126732673267327;false;false;;false;2;2;505;714;45.347225189208984;45.347225189208984;4.065673555186729;20,1054;20;1054;1
Mouse;Select;small;3;1445;0.9475409836065574;false;false;;true;2;4;1525;714;45.347225189208984;45.347225189208984;5.113925509217591;27,1418;27;1418;1
Mouse;Select;small;0;1560;1.022950819672131;false;false;;false;2;2;1525;714;45.347225189208984;45.347225189208984;5.113925509217591;8,1552;8;1552;1
Mouse;Select;small;1;1040;2.0594059405940595;false;false;;true;1;3;505;714;45.347225189208984;45.347225189208984;4.065673555186729;28,1012;28;1012;1
Mouse;Select;small;2;1186;1.1627450980392158;false;false;;true;2;4;1020;0;45.347225189208984;45.347225189208984;4.554165635320141;20,1166;20;1166;1
Mouse;Select;small;3;1742;0.5537190082644629;false;false;;false;1;1;3146;714;45.347225189208984;45.347225189208984;6.137007500643856;168,1574;168;1574;1
Mouse;Select;small;0;1684;0.7920978363123237;false;false;;true;1;3;2126;714;45.347225189208984;45.347225189208984;5.581432364401242;67,1617;67;1617;1
Mouse;Select;small;1;1483;0.6975540921919097;false;false;;false;1;1;2126;714;45.347225189208984;45.347225189208984;5.581432364401242;30,1453;30;1453;1
Mouse;Select;small;2;1786;0.5677050222504768;false;false;;true;2;4;3146;714;45.347225189208984;45.347225189208984;6.137007500643856;27,1759;27;1759;1
Mouse;Select;small;3;1870;1.2262295081967214;false;false;;false;2;2;1525;714;45.347225189208984;45.347225189208984;5.113925509217591;20,1850;20;1850;1
Mouse;Select;small;0;1361;2.6950495049504952;false;false;;true;1;3;505;714;45.347225189208984;45.347225189208984;4.065673555186729;16,1345;16;1345;1
Mouse;Select;small;1;1143;2.263366336633663;false;false;;false;2;2;505;714;45.347225189208984;45.347225189208984;4.065673555186729;18,1125;18;1125;1
Mouse;Select;small;2;1178;0.7267119062307218;false;false;;false;1;1;1621;0;45.347225189208984;45.347225189208984;5.199530968960261;22,1156;22;1156;1
Mouse;Select;small;3;2519;0.8006993006993007;false;false;;true;2;4;3146;714;45.347225189208984;45.347225189208984;6.137007500643856;121,2398;121;2398;1
Mouse;Select;small;0;1567;1.5362745098039217;false;false;;true;1;3;1020;0;45.347225189208984;45.347225189208984;4.554165635320141;11,1556;11;1556;1
Mouse;Select;small;1;1166;2.3089108910891087;false;false;;false;2;2;505;714;45.347225189208984;45.347225189208984;4.065673555186729;242,924;242;924;1
Mouse;Select;small;2;1504;0.9862295081967213;false;false;;true;2;4;1525;714;45.347225189208984;45.347225189208984;5.113925509217591;22,1482;22;1482;1
Mouse;Select;small;3;1342;0.42657342657342656;false;false;;false;1;1;3146;714;45.347225189208984;45.347225189208984;6.137007500643856;13,1329;13;1329;1
Mouse;Select;small;0;880;0.5428747686613201;false;false;;false;2;2;1621;0;45.347225189208984;45.347225189208984;5.199530968960261;5,875;5;875;1
Mouse;Select;small;1;1256;0.8236065573770491;false;false;;true;2;4;1525;714;45.347225189208984;45.347225189208984;5.113925509217591;138,1118;138;1118;1
Mouse;Select;small;2;1574;1574;false;true;;true;1;3;1;0;0;0;Infinity;14,1560;14;1560;1
Mouse;Select;small;3;0;0;false;true;;false;1;1;1;0;0;0;Infinity;0;0;0;0
Mouse;Select;small;0;1308;0.4157660521296885;false;false;;false;1;1;3146;714;45.347225189208984;45.347225189208984;6.137007500643856;13,1295;13;1295;1
Mouse;Select;small;1;1510;0.7102539981185324;false;false;;true;1;3;2126;714;45.347225189208984;45.347225189208984;5.581432364401242;113,1397;113;1397;1
Mouse;Select;small;2;1555;1.5245098039215685;false;false;;true;2;4;1020;0;45.347225189208984;45.347225189208984;4.554165635320141;22,1533;22;1533;1
Mouse;Select;small;3;1659;1.0878688524590163;false;false;;false;2;2;1525;714;45.347225189208984;45.347225189208984;5.113925509217591;215,1444;215;1444;1
Mouse;Select;small;0;1599;1.0485245901639344;false;false;;true;2;4;1525;714;45.347225189208984;45.347225189208984;5.113925509217591;2,1597;2;1597;1
Mouse;Select;small;1;1801;1.180983606557377;false;false;;false;2;2;1525;714;45.347225189208984;45.347225189208984;5.113925509217591;16,1785;16;1785;1
Mouse;Select;small;2;1008;1.996039603960396;false;false;;true;1;3;505;714;45.347225189208984;45.347225189208984;4.065673555186729;13,995;13;995;1
Mouse;Select;small;3;1728;0.812793979303857;false;false;;false;1;1;2126;714;45.347225189208984;45.347225189208984;5.581432364401242;17,1711;17;1711;1
Mouse;Select;small;0;2693;0.8560076287349014;false;false;;true;2;4;3146;714;45.347225189208984;45.347225189208984;6.137007500643856;67,2626;67;2626;1
Mouse;Select;small;1;2129;2.0872549019607844;false;false;;true;1;3;1020;0;45.347225189208984;45.347225189208984;4.554165635320141;20,2109;20;2109;1
Mouse;Select;small;2;1419;0.6674506114769521;false;false;;false;1;1;2126;714;45.347225189208984;45.347225189208984;5.581432364401242;261,1158;261;1158;1
Mouse;Select;small;3;1234;0.7612584824182603;false;false;;false;2;2;1621;0;45.347225189208984;45.347225189208984;5.199530968960261;14,1220;14;1220;1
Mouse;Select;small;0;1838;1838;false;false;;false;2;2;1;0;45.347225189208984;45.347225189208984;0.0314686927118795;767,1071;767;1071;1
Mouse;Select;small;1;1341;0.879344262295082;false;false;;true;2;4;1525;714;45.347225189208984;45.347225189208984;5.113925509217591;135,1206;135;1206;1
Mouse;Select;small;2;1680;0.5340114431023522;false;false;;false;1;1;3146;714;45.347225189208984;45.347225189208984;6.137007500643856;31,1649;31;1649;1
Mouse;Select;small;3;1631;0.7671683913452493;false;false;;true;1;3;2126;714;45.347225189208984;45.347225189208984;5.581432364401242;14,1617;14;1617;1
Mouse;Select;small;0;1325;1325;false;false;;true;1;3;1;0;45.347225189208984;45.347225189208984;0.0314686927118795;12,1313;12;1313;1
Mouse;Select;small;1;1064;1.0431372549019609;false;false;;true;2;4;1020;0;45.347225189208984;45.347225189208984;4.554165635320141;201,863;201;863;1
Mouse;Select;small;2;1766;1.1580327868852458;false;false;;false;2;2;1525;714;45.347225189208984;45.347225189208984;5.113925509217591;242,1524;242;1524;1
Mouse;Select;small;3;955;0.5891425046267736;false;false;;false;1;1;1621;0;45.347225189208984;45.347225189208984;5.199530968960261;14,941;14;941;1
Mouse;Select;small;0;2124;1.310302282541641;false;false;;false;2;2;1621;0;45.347225189208984;45.347225189208984;5.199530968960261;16,2108;16;2108;1
Mouse;Select;small;1;1245;2.4653465346534653;false;false;;true;1;3;505;714;45.347225189208984;45.347225189208984;4.065673555186729;120,1125;120;1125;1
Mouse;Select;small;2;1281;0.6025399811853246;false;false;;false;1;1;2126;714;45.347225189208984;45.347225189208984;5.581432364401242;23,1258;23;1258;1
Mouse;Select;small;3;2011;0.6392244119516847;false;false;;true;2;4;3146;714;45.347225189208984;45.347225189208984;6.137007500643856;23,1988;23;1988;1
Mouse;Select;small;0;1416;0.45009535918626825;false;false;;false;1;1;3146;714;45.347225189208984;45.347225189208984;6.137007500643856;16,1400;16;1400;1
Mouse;Select;small;1;2317;0.7364907819453274;false;false;;true;2;4;3146;714;45.347225189208984;45.347225189208984;6.137007500643856;14,2303;14;2303;1
Mouse;Select;small;2;2229;1.461639344262295;false;false;;false;2;2;1525;714;45.347225189208984;45.347225189208984;5.113925509217591;25,2204;25;2204;1
Mouse;Select;small;3;1245;2.4653465346534653;false;false;;true;1;3;505;714;45.347225189208984;45.347225189208984;4.065673555186729;207,1038;207;1038;1
Mouse;Select;small;0;1387;0.6523988711194731;false;false;;false;1;1;2126;714;45.347225189208984;45.347225189208984;5.581432364401242;158,1229;158;1229;1
Mouse;Select;small;1;1042;0.6428130783466995;false;false;;false;2;2;1621;0;45.347225189208984;45.347225189208984;5.199530968960261;23,1019;23;1019;1
Mouse;Select;small;2;1337;0.8767213114754099;false;false;;true;2;4;1525;714;45.347225189208984;45.347225189208984;5.113925509217591;129,1208;129;1208;1
Mouse;Select;small;3;735;0.7205882352941176;false;false;;true;1;3;1020;0;45.347225189208984;45.347225189208984;4.554165635320141;22,713;22;713;1
Mouse;Select;small;0;1498;1.468627450980392;false;false;;true;2;4;1020;0;45.347225189208984;45.347225189208984;4.554165635320141;4,1494;4;1494;1
Mouse;Select;small;1;1636;1.0727868852459017;false;false;;false;2;2;1525;714;45.347225189208984;45.347225189208984;5.113925509217591;135,1501;135;1501;1
